count,cell,hour
23311,1,1351728000
24608,1,1351814400
10430,1,1351900800
7326,1,1351987200
23329,1,1352073600
23224,1,1352160000
23386,1,1352246400
23616,1,1352332800
24420,1,1352419200
10806,1,1352505600
7882,1,1352592000
22093,1,1352678400
6742,1,1352764800
22352,1,1352851200
23376,1,1352937600
24120,1,1353024000
9760,1,1353110400
7614,1,1353196800
22988,1,1353283200
22689,1,1353369600
22594,1,1353456000
22801,1,1353542400
23139,1,1353628800
9769,1,1353715200
7288,1,1353801600
22182,1,1353888000
22305,1,1353974400
22358,1,1354060800
22353,1,1354147200
23173,1,1354233600
27590,2,1351728000
29305,2,1351814400
26508,2,1351900800
21579,2,1351987200
26087,2,1352073600
26359,2,1352160000
27039,2,1352246400
27220,2,1352332800
29060,2,1352419200
26757,2,1352505600
22433,2,1352592000
27454,2,1352678400
21946,2,1352764800
25987,2,1352851200
26656,2,1352937600
28939,2,1353024000
24990,2,1353110400
21213,2,1353196800
26183,2,1353283200
26784,2,1353369600
26599,2,1353456000
27338,2,1353542400
28571,2,1353628800
26703,2,1353715200
21668,2,1353801600
26274,2,1353888000
26326,2,1353974400
27095,2,1354060800
27420,2,1354147200
28803,2,1354233600
8783,3,1351728000
8659,3,1351814400
5917,3,1351900800
4338,3,1351987200
8290,3,1352073600
8112,3,1352160000
8409,3,1352246400
8732,3,1352332800
8801,3,1352419200
6219,3,1352505600
4694,3,1352592000
8017,3,1352678400
4171,3,1352764800
8104,3,1352851200
8423,3,1352937600
8748,3,1353024000
5910,3,1353110400
4499,3,1353196800
8033,3,1353283200
8307,3,1353369600
8224,3,1353456000
8263,3,1353542400
8700,3,1353628800
5859,3,1353715200
4427,3,1353801600
8018,3,1353888000
8032,3,1353974400
8088,3,1354060800
8280,3,1354147200
8587,3,1354233600
13872,4,1351728000
14384,4,1351814400
10843,4,1351900800
8707,4,1351987200
13238,4,1352073600
13429,4,1352160000
13934,4,1352246400
13853,4,1352332800
14369,4,1352419200
11204,4,1352505600
8627,4,1352592000
12975,4,1352678400
8523,4,1352764800
13400,4,1352851200
13783,4,1352937600
13923,4,1353024000
10412,4,1353110400
8777,4,1353196800
13080,4,1353283200
13407,4,1353369600
13520,4,1353456000
13619,4,1353542400
13759,4,1353628800
11093,4,1353715200
8743,4,1353801600
12817,4,1353888000
13239,4,1353974400
13320,4,1354060800
13666,4,1354147200
14248,4,1354233600
25182,5,1351728000
26079,5,1351814400
20695,5,1351900800
17959,5,1351987200
24166,5,1352073600
24440,5,1352160000
25122,5,1352246400
24667,5,1352332800
25805,5,1352419200
20920,5,1352505600
19285,5,1352592000
24249,5,1352678400
15367,5,1352764800
23914,5,1352851200
24668,5,1352937600
25781,5,1353024000
20222,5,1353110400
18786,5,1353196800
24556,5,1353283200
25038,5,1353369600
24762,5,1353456000
25108,5,1353542400
26254,5,1353628800
20538,5,1353715200
18160,5,1353801600
24284,5,1353888000
25010,5,1353974400
25085,5,1354060800
25518,5,1354147200
25918,5,1354233600
31788,6,1351728000
32777,6,1351814400
26553,6,1351900800
18638,6,1351987200
30690,6,1352073600
31495,6,1352160000
31547,6,1352246400
31912,6,1352332800
32853,6,1352419200
24763,6,1352505600
18975,6,1352592000
31126,6,1352678400
14513,6,1352764800
31216,6,1352851200
30919,6,1352937600
32582,6,1353024000
24772,6,1353110400
18453,6,1353196800
31017,6,1353283200
31421,6,1353369600
32282,6,1353456000
31342,6,1353542400
32670,6,1353628800
24251,6,1353715200
18312,6,1353801600
30723,6,1353888000
31462,6,1353974400
31915,6,1354060800
31704,6,1354147200
33117,6,1354233600
10329,7,1351728000
10641,7,1351814400
5371,7,1351900800
4273,7,1351987200
9926,7,1352073600
10017,7,1352160000
10282,7,1352246400
10189,7,1352332800
10025,7,1352419200
5355,7,1352505600
4602,7,1352592000
9468,7,1352678400
3513,7,1352764800
9746,7,1352851200
9854,7,1352937600
10061,7,1353024000
5477,7,1353110400
4554,7,1353196800
9576,7,1353283200
10104,7,1353369600
9960,7,1353456000
9923,7,1353542400
10061,7,1353628800
5680,7,1353715200
4600,7,1353801600
9940,7,1353888000
9930,7,1353974400
10059,7,1354060800
9910,7,1354147200
10039,7,1354233600
50245,8,1351728000
57408,8,1351814400
64373,8,1351900800
63335,8,1351987200
48329,8,1352073600
48809,8,1352160000
50405,8,1352246400
53184,8,1352332800
58971,8,1352419200
61576,8,1352505600
63535,8,1352592000
54669,8,1352678400
52074,8,1352764800
49544,8,1352851200
51762,8,1352937600
61801,8,1353024000
65417,8,1353110400
63444,8,1353196800
49829,8,1353283200
51562,8,1353369600
52546,8,1353456000
53250,8,1353542400
63005,8,1353628800
66892,8,1353715200
65230,8,1353801600
51871,8,1353888000
53645,8,1353974400
58152,8,1354060800
61317,8,1354147200
68434,8,1354233600
28686,9,1351728000
34305,9,1351814400
35893,9,1351900800
25917,9,1351987200
27677,9,1352073600
29058,9,1352160000
30226,9,1352246400
33111,9,1352332800
35413,9,1352419200
34035,9,1352505600
26486,9,1352592000
31847,9,1352678400
26660,9,1352764800
29082,9,1352851200
29998,9,1352937600
36264,9,1353024000
34934,9,1353110400
26349,9,1353196800
28736,9,1353283200
30210,9,1353369600
30039,9,1353456000
31241,9,1353542400
35682,9,1353628800
35142,9,1353715200
25086,9,1353801600
29037,9,1353888000
29363,9,1353974400
30373,9,1354060800
31189,9,1354147200
35598,9,1354233600
10988,10,1351728000
12425,10,1351814400
10034,10,1351900800
8383,10,1351987200
10288,10,1352073600
10441,10,1352160000
11025,10,1352246400
10675,10,1352332800
11302,10,1352419200
9352,10,1352505600
8742,10,1352592000
9730,10,1352678400
6596,10,1352764800
10239,10,1352851200
10772,10,1352937600
11263,10,1353024000
9149,10,1353110400
8561,10,1353196800
10325,10,1353283200
10286,10,1353369600
10501,10,1353456000
10781,10,1353542400
11591,10,1353628800
9731,10,1353715200
8213,10,1353801600
9391,10,1353888000
10115,10,1353974400
10103,10,1354060800
10151,10,1354147200
11153,10,1354233600
44306,11,1351728000
50047,11,1351814400
46366,11,1351900800
43183,11,1351987200
41142,11,1352073600
44327,11,1352160000
44894,11,1352246400
47349,11,1352332800
49119,11,1352419200
42048,11,1352505600
47214,11,1352592000
42970,11,1352678400
35122,11,1352764800
41949,11,1352851200
43561,11,1352937600
50607,11,1353024000
41270,11,1353110400
43981,11,1353196800
40184,11,1353283200
42237,11,1353369600
43561,11,1353456000
43978,11,1353542400
54474,11,1353628800
43332,11,1353715200
41810,11,1353801600
41371,11,1353888000
42901,11,1353974400
45249,11,1354060800
45417,11,1354147200
51821,11,1354233600
71028,12,1351728000
71673,12,1351814400
24534,12,1351900800
13492,12,1351987200
69902,12,1352073600
71422,12,1352160000
71489,12,1352246400
72141,12,1352332800
70808,12,1352419200
20032,12,1352505600
12138,12,1352592000
66233,12,1352678400
13819,12,1352764800
70329,12,1352851200
70022,12,1352937600
72607,12,1353024000
19565,12,1353110400
11984,12,1353196800
67968,12,1353283200
69947,12,1353369600
71337,12,1353456000
68973,12,1353542400
72298,12,1353628800
19628,12,1353715200
11476,12,1353801600
68572,12,1353888000
71045,12,1353974400
71965,12,1354060800
70492,12,1354147200
69379,12,1354233600
8162,13,1351728000
8084,13,1351814400
1393,13,1351900800
1255,13,1351987200
8073,13,1352073600
