cell,lat,lon
2117,1.3219,103.6708
4453,1.3505,103.8994
105,1.36046,103.8851
5209,1.3523,103.9679
3645,1.3794,103.8352
3696,1.3792,103.8276
6581,1.3447,103.9532
3549,1.3698,103.8396
3680,1.3842,103.8468
1326,1.2813,103.8252
4833,1.3189,103.925
3069,1.4307,103.7828
3875,1.4155,103.8395
4187,1.4077,103.9088
1912,1.3329,103.711
1736,1.3002,103.7887
4396,1.3378,103.8817
3872,1.4175,103.8349
3965,1.3468,103.8716
2844,1.3805,103.7493
2150,1.2981,103.6648
3661,1.3858,103.8457
5401,1.2554,103.8242
3936,1.3414,103.8705
6894,1.4288,103.836
3538,1.3574,103.8546
2971,1.3851,103.7423
6989,1.3816,103.8815
5177,1.3152,103.989
2151,1.3003,103.6636
6198,1.312,103.6586
4460,1.3685,103.9298
2473,1.3744,103.7196
2912,1.3796,103.7639
4269,1.3792,103.8784
2579,1.3102,103.8477
3513,1.3454,103.8505
2729,1.3613,103.7645
3150,1.4458,103.7997
4635,1.3784,103.9363
2961,1.4114,103.7609
2111,1.3278,103.681
31,1.300824,103.8562
6596,1.3386,103.9294
1806,1.3198,103.7446
6049,1.3664,103.7755
4347,1.4054,103.8609
2307,1.3421,103.6913
6321,1.4264,103.8426
4791,1.3169,103.8992
6910,1.4369,103.7858
2723,1.3531,103.76
2283,1.3491,103.7039
1571,1.283,103.7879
4450,1.376,103.92
5130,1.3897,103.9968
4045,1.3697,103.8778
5144,1.3333,103.9561
1286,1.2912,103.8176
4854,1.3496,103.6972
3186,1.4561,103.7981
3794,1.4502,103.8161
1158,1.2818,103.8379
1893,1.344,103.7103
2717,1.347,103.7639
5421,1.4487,103.8169
2020,1.3461,103.703
3708,1.3788,103.8294
4691,1.3112,103.8715
1740,1.2983,103.7936
3106,1.4353,103.7816
3297,1.3169,103.8416
1878,1.3304,103.708
3506,1.3594,103.8301
1917,1.3314,103.7164
2646,1.3435,103.7754
2143,1.2956,103.6707
6898,1.4291,103.836
2262,1.3245,103.636
6164,1.2931,103.637
6147,1.438,103.8033
3455,1.3648,103.828
1751,1.2901,103.7892
4789,1.3138,103.9039
1688,1.311,103.7673
2806,1.3487,103.752
3555,1.3688,103.8466
3245,1.4075,103.7831
4887,1.3295,103.9348
4719,1.3186,103.8801
4211,1.3425,103.8695
3851,1.4283,103.8307
6890,1.4281,103.8363
6991,1.3699,103.9004
2778,1.3527,103.7553
2120,1.3309,103.6738
4809,1.3163,103.9091
3729,1.4275,103.8266
3916,1.3272,103.8675
6547,1.2776,103.8384
1179,1.315,103.8579
3130,1.4357,103.7959
2430,1.353,103.7226
2267,1.3176,103.651
2817,1.362,103.7414
3923,1.322,103.8708
4655,1.3685,103.9585
2122,1.3261,103.6698
4491,1.3546,103.9315
1290,1.2924,103.8106
2888,1.3827,103.7487
3566,1.3702,103.863
5265,1.3914,103.9817
3129,1.4358,103.7958
4356,1.3232,103.8812
2645,1.34,103.7794
1499,1.3023,103.8299
3019,1.4428,103.7693
2893,1.3803,103.7445
6403,1.3871,103.8899
4104,1.3622,103.8983
2382,1.342,103.7358
1795,1.3203,103.7473
1695,1.295,103.7652
2537,1.4175,103.7013
5268,1.3916,103.9843
3995,1.3601,103.8852
4813,1.3149,103.9092
1614,1.2994,103.7792
4299,1.3834,103.9021
3239,1.4027,103.8124
47,1.425243,103.762
6344,1.3861,103.8951
6227,1.4469,103.8099
3333,1.3303,103.8393
2581,1.3178,103.8351
1266,1.2859,103.8269
3504,1.3613,103.832
1572,1.2862,103.7856
3575,1.3748,103.8481
4432,1.345,103.899
1591,1.277,103.7902
2652,1.3287,103.7944
2931,1.3958,103.7542
2036,1.3229,103.6862
3268,1.4321,103.7556
6907,1.4374,103.7869
5037,1.3038,103.8966
5317,1.3235,103.8726
2904,1.3843,103.7445
6906,1.4369,103.7857
3574,1.3747,103.8479
4090,1.3651,103.9089
4483,1.351,103.9315
1933,1.3379,103.7182
2480,1.3801,103.731
3090,1.4479,103.7983
1383,1.3162,103.7885
4798,1.3208,103.9134
6850,1.3541,103.9429
5143,1.334,103.9566
1784,1.3198,103.7624
2885,1.374,103.7726
2428,1.3524,103.7173
2380,1.3395,103.7342
6212,1.3391,103.6982
2855,1.368,103.7471
2763,1.3551,103.7475
4645,1.3783,103.9334
5412,1.2813,103.8535
4576,1.3593,103.9524
3682,1.379,103.8472
2845,1.3777,103.7509
3561,1.3698,103.8542
1069,1.2816,103.8512
4724,1.3051,103.8834
4018,1.3541,103.8749
3242,1.4022,103.814
3334,1.3302,103.8398
1223,1.3039,103.8233
3255,1.4201,103.7507
1345,1.3027,103.8012
3624,1.3784,103.8668
2932,1.4,103.7555
26,1.3442,103.7206
1629,1.2964,103.7714
6572,1.3768,103.8348
4646,1.3778,103.9328
4480,1.3498,103.9343
3623,1.3785,103.8656
5151,1.3469,103.963
3581,1.3658,103.8561
3654,1.3856,103.8423
3932,1.3363,103.8703
1605,1.2891,103.7774
6626,1.3895,103.9879
3026,1.4463,103.7771
6854,1.3712,103.9717
6524,1.352,103.8997
6777,1.3397,103.7061
4384,1.3236,103.887
4296,1.3876,103.9053
1841,1.3147,103.718
1735,1.3005,103.7894
3987,1.3372,103.7544
4723,1.3099,103.8799
2715,1.3466,103.7592
6615,1.3268,103.9004
4902,1.33,103.9274
3964,1.3437,103.8738
5162,1.3337,103.9537
6597,1.332,103.8482
2839,1.3764,103.7438
1791,1.3185,103.7464
2625,1.3255,103.814
4749,1.3107,103.8831
3180,1.4518,103.7882
4042,1.3526,103.8884
6606,1.3627,103.9738
1053,1.2912,103.8617
6456,1.3943,103.8887
2997,1.3998,103.7499
6765,1.3877,103.8942
4309,1.3889,103.8969
2084,1.3018,103.6775
6475,0,0
4921,1.3339,103.9289
1147,1.2777,103.8436
3481,1.3508,103.8479
1713,1.2963,103.7888
1353,1.3161,103.806
4060,1.3707,103.8825
6408,1.2906,103.6241
4025,1.3608,103.8735
3625,1.3866,103.8471
3040,1.4384,103.774
4925,1.3333,103.9316
1559,1.2729,103.8104
6279,0,0
2895,1.3824,103.7428
2847,1.3771,103.7554
2225,1.324,103.6531
2293,1.3561,103.6918
6465,1.3819,103.7451
22,1.429276,103.8351
1316,1.289,103.815
3399,1.3344,103.8536
2993,1.3926,103.7501
1650,1.3015,103.766
4242,1.3651,103.8725
6715,1.347,103.9676
2195,1.3346,103.6473
6545,1.2999,103.8553
1203,1.297,103.8437
1498,1.3027,103.8301
2873,1.3788,103.7562
1028,1.3034,103.8648
1643,1.2892,103.7794
4317,1.3931,103.9038
1439,1.3206,103.7767
131,1.396799,103.9092
4030,1.366,103.8752
5065,1.3082,103.9215
2016,1.3403,103.6952
4368,1.3295,103.8741
2372,1.33,103.7429
2079,1.3152,103.6914
1279,1.2905,103.8318
6915,1.34,103.706
119,1.387875,103.9055
4416,1.3307,103.9037
1005,1.2978,103.8559
2375,1.3338,103.737
4362,1.3334,103.8784
3215,1.4333,103.7962
3732,1.4312,103.8269
4330,1.397,103.8731
4671,1.3696,103.9641
3617,1.3649,103.8406
1411,1.2978,103.7975
3428,1.3253,103.8574
4908,1.331,103.9319
3413,1.3398,103.853
3991,1.3535,103.878
1320,1.2866,103.8116
2061,1.3279,103.6945
4759,1.3188,103.8867
4781,1.3094,103.9267
3308,1.3266,103.8441
3092,1.4495,103.8015
2266,1.3173,103.6513
1503,1.442,103.771
4456,1.3704,103.9228
1491,1.2975,103.83
2389,1.3416,103.7404
3416,1.3398,103.8585
4171,1.3846,103.9006
5046,1.311,103.9115
2409,1.3345,103.7386
129,1.386717,103.8904
3650,1.3815,103.8393
5101,1.3143,103.9358
4286,1.3822,103.877
2990,1.3963,103.7496
3700,1.3854,103.8229
5479,1.2722,103.8216
4345,1.4022,103.872
3498,1.3615,103.8405
3905,1.3292,103.8664
2383,1.3446,103.7365
1043,1.3948,103.8864
1197,1.3042,103.8528
2441,1.3389,103.746
3109,1.4347,103.7774
2088,1.3108,103.6787
5230,1.3619,103.9646
3285,1.4386,103.7353
2776,1.3514,103.7434
2921,1.3835,103.766
4652,1.3683,103.9518
3837,1.4405,103.8376
6771,1.2675,103.8191
3849,1.4189,103.8407
4152,1.3751,103.8791
5176,1.3402,103.9594
4458,1.3675,103.9265
4421,1.3313,103.9014
2528,1.4027,103.7009
3424,1.3364,103.8572
6135,1.3706,103.9306
2366,1.3561,103.7198
5217,1.3623,103.9633
4777,1.3152,103.8933
1271,1.2886,103.8217
3903,1.3272,103.8703
4316,1.3932,103.9039
6874,1.3769,103.9363
2900,1.3794,103.7406
2650,1.33,103.7951
2576,1.3205,103.8275
1897,1.3477,103.7124
3137,1.4521,103.8022
3559,1.3693,103.8509
3342,1.3421,103.836
4999,1.3006,103.8926
2771,1.345,103.7484
3013,1.4369,103.7646
2485,1.3625,103.6929
4241,1.3682,103.874
2773,1.3674,103.7503
4342,1.4043,103.8655
4136,1.371,103.8894
2124,1.3276,103.6752
3066,1.4317,103.7862
5062,1.3083,103.9127
2213,1.3339,103.6517
3592,1.3773,103.8406
3702,1.3871,103.8196
2916,1.3853,103.7631
1492,1.2978,103.8306
205,1.349091,103.8395
4207,1.3437,103.8628
3844,1.4367,103.8337
3787,1.4479,103.8189
2860,1.3775,103.7667
3140,1.4464,103.807
6539,1.3952,103.8974
4319,1.3938,103.8985
3721,1.4108,103.8219
1141,1.2797,103.8426
1804,1.3212,103.7364
3805,1.417,103.8334
3011,1.4331,103.762
3929,1.3352,103.8666
5076,1.3117,103.9223
2562,1.3064,103.8458
3431,1.3354,103.8587
3320,1.3184,103.8551
3572,1.3672,103.8506
1960,1.3391,103.7053
4270,1.3789,103.879
1963,1.322,103.7071
4146,1.3794,103.8863
3521,1.3733,103.8477
3289,1.3164,103.8448
3731,1.4312,103.8266
1034,1.2958,103.8569
1554,1.2711,103.8229
1393,1.3231,103.7915
3229,1.4126,103.789
3576,1.3765,103.8502
2326,1.3486,103.6964
3664,1.3885,103.846
3259,1.4264,103.7488
2714,1.3463,103.7592
4917,1.3327,103.9245
4530,1.3516,103.9402
44,1.440817,103.8011
3374,1.3323,103.8441
1742,1.2956,103.7939
1125,1.292,103.8431
6119,1.3377,103.7644
34,1.316398,103.883
6317,1.3468,103.9677
4492,1.3542,103.9314
2533,1.4115,103.7
4959,1.3201,103.9443
6644,1.3504,103.7008
4082,1.3719,103.8769
3361,1.3434,103.8513
6228,1.4479,103.8135
1847,1.3258,103.7191
1657,1.3089,103.7605
3409,1.3363,103.8556
2300,1.3515,103.6857
6117,1.299,103.8465
2876,1.3814,103.7539
4633,1.3806,103.9349
3525,1.3708,103.8456
3773,1.4598,103.8209
1551,1.2771,103.818
4931,1.3375,103.9227
3801,1.4088,103.8292
1451,1.3325,103.7777
3874,1.4178,103.8382
3649,1.3815,103.839
4895,1.3333,103.9391
6301,1.3307,103.8914
1048,1.29,103.8564
1189,1.3114,103.8624
3685,1.3849,103.8367
3322,1.3173,103.8566
2966,1.4103,103.7698
3999,1.3644,103.8898
3869,1.4252,103.8457
4499,1.345,103.9369
1463,1.3168,103.7769
1630,1.2813,103.7842
4540,1.3526,103.9475
1457,1.3142,103.7851
6471,1.3474,103.6373
5422,1.4234,103.8369
1381,1.3147,103.7901
4804,1.3213,103.9053
1253,1.2823,103.8224
2705,1.3733,103.7703
2759,1.3517,103.7589
4101,1.3617,103.8942
6812,1.3525,103.8721
4982,1.2971,103.8691
5432,1.4295,103.8354
4529,1.3529,103.9552
6925,1.4041,103.9023
5300,1.432,103.7476
2858,1.3788,103.7667
3470,1.353,103.8358
2335,1.3243,103.7591
5561,1.2656,103.8222
5081,1.314,103.9316
117,1.394654,103.9001
4128,1.3748,103.8881
4256,1.3493,103.8662
3125,1.4375,103.7922
4370,1.3308,103.8772
1799,1.3204,103.7441
6194,1.3091,103.6614
4845,1.3254,103.9111
2749,1.35,103.7477
1038,1.2968,103.8568
1953,1.3283,103.7249
5293,1.4278,103.8363
1728,1.2941,103.7867
4573,1.362,103.9521
3715,1.4002,103.8172
1986,1.3673,103.9643
6792,1.3317,103.8473
3750,1.4509,103.8287
6383,1.3587,103.9541
6726,1.3583,103.7651
2497,1.3804,103.6973
3351,1.3401,103.8326
3638,1.392,103.8533
4825,1.3167,103.9208
1319,1.2874,103.8143
3953,1.3516,103.8778
5272,1.3902,103.993
5344,1.46,103.8152
4944,1.3283,103.9228
3278,1.4347,103.7509
1475,1.3027,103.8203
3695,1.3767,103.8285
1070,1.282,103.8488
3274,1.4384,103.7432
3396,1.334,103.8515
2395,1.3439,103.7312
3213,1.4344,103.8019
5022,1.3072,103.9176
2626,1.3298,103.8147
4457,1.3701,103.923
4935,1.3352,103.914
1686,1.3151,103.7692
2578,1.3218,103.8234
4361,1.3292,103.8797
3401,1.3371,103.8522
3911,1.3223,103.8663
3491,1.3467,103.8543
3365,1.3435,103.8587
3309,1.3266,103.8469
3495,1.3468,103.8416
3336,1.3316,103.8389
109,1.319637,103.8619
2677,1.3381,103.7688
1083,1.2757,103.8471
3146,1.4406,103.8005
6191,1.3348,103.7045
4248,1.3526,103.8683
210,1.306058,103.8826
4041,1.3523,103.8878
3586,1.3724,103.8542
6869,1.3348,103.7196
2880,1.3793,103.774
6,1.320109,103.844
3944,1.3324,103.8671
2129,1.313,103.6599
1867,1.3348,103.7194
3706,1.3979,103.8181
1745,1.2963,103.7835
2369,1.3276,103.745
2015,1.3408,103.6959
5598,1.3146,103.873
28,1.348705,103.7493
4418,1.3283,103.9028
1552,1.2747,103.8213
1600,1.2863,103.7799
1261,1.2862,103.8068
2658,1.3403,103.7737
4436,1.3309,103.9065
1927,1.3324,103.7233
5206,1.3629,103.9671
4946,1.3257,103.9195
4688,1.3105,103.8714
6395,1.2975,103.7781
2282,1.3117,103.6309
4305,1.3875,103.898
4707,1.296,103.8579
4704,1.3072,103.88
4121,1.3672,103.8991
2572,1.3184,103.8339
4003,1.3599,103.893
4821,1.3173,103.9163
2963,1.4104,103.7631
3429,1.3275,103.8458
3578,1.3587,103.8559
6957,1.287,103.8396
3810,1.4295,103.8354
4297,1.3872,103.9042
3208,1.4305,103.7948
2189,1.3274,103.6455
4378,1.3276,103.8811
1004,1.2968,103.8544
1191,1.3097,103.8636
3607,1.3734,103.863
2031,1.335,103.6932
2988,1.399,103.746
3463,1.3557,103.8414
4062,1.3702,103.8803
6729,1.4614,103.8132
4620,1.3787,103.9428
3310,1.3265,103.8465
4212,1.3545,103.8615
1129,1.2815,103.8409
1401,1.3423,103.7053
4038,1.3562,103.8898
4907,1.3287,103.9308
5032,1.3086,103.9106
6133,1.34,103.9484
1233,1.3078,103.8331
4175,1.3899,103.9019
3112,1.4364,103.7738
4141,1.3782,103.8894
1066,1.2837,103.8528
4334,1.3998,103.8724
1298,1.2814,103.8184
6879,1.3505,103.7505
4697,1.3128,103.8808
3474,1.3575,103.8389
2486,1.363,103.6929
2965,1.41,103.7665
1884,1.3431,103.7077
6218,0,0
2425,1.3511,103.7207
1195,1.3044,103.8548
1380,1.3126,103.7945
1983,1.3144,103.629
2560,1.4424,103.7078
2241,1.3352,103.6351
5122,1.3722,103.9946
3699,1.3827,103.826
1264,1.286,103.8328
1267,1.286,103.8275
2725,1.3557,103.762
3588,1.3702,103.858
3697,1.3795,103.8277
4972,1.3296,103.9489
6582,1.3423,103.9512
2770,1.3626,103.7469
4132,1.3745,103.8929
3930,1.3333,103.8695
1859,1.3444,103.7163
2996,1.4007,103.7473
3976,1.3487,103.8748
2377,1.3361,103.735
4469,1.3276,103.8458
2362,1.354,103.7291
5224,1.373,103.9737
1077,1.2787,103.8482
4672,1.3723,103.9607
6116,1.4407,103.7932
3735,1.4382,103.8253
4653,1.3664,103.9612
39,1.327038,103.9466
5001,1.3017,103.896
2836,1.3766,103.7363
4596,1.3712,103.9484
3829,1.4322,103.8399
2081,1.3064,103.679
4005,1.3566,103.8922
3417,1.3398,103.8581
4568,1.3465,103.95
1582,1.2741,103.7983
3408,1.3329,103.8559
2838,1.3769,103.7402
1546,1.2795,103.8173
1943,1.3413,103.7221
6400,1.3882,103.8876
3382,1.3408,103.848
5198,1.3651,103.9752
1763,1.3079,103.7767
4461,1.3685,103.93
1404,1.3084,103.7933
6404,1.3802,103.9427
2053,1.3252,103.6841
2602,1.3412,103.827
5319,1.3584,103.9874
2687,1.352,103.77
4512,1.3577,103.9363
1797,1.3191,103.7482
2928,1.3939,103.7538
1442,1.32,103.7737
3701,1.3852,103.8232
6276,0,0
3340,1.337,103.8374
5330,1.3604,103.7642
3220,1.4626,103.81
1977,1.3059,103.7009
4769,1.3165,103.899
1633,1.2802,103.7836
2103,1.3046,103.6847
4009,1.3508,103.8898
4223,1.3629,103.8724
3269,1.4353,103.755
219,1.312108,103.7962
2699,1.3704,103.7639
4346,1.4053,103.8608
3807,1.4205,103.835
1336,1.2866,103.8058
2903,1.3805,103.7418
1949,1.3478,103.7151
3250,1.4134,103.7518
6101,1.3813,103.8882
3387,1.3354,103.8466
3947,1.3424,103.8838
1991,1.3254,103.6965
6708,1.3313,103.8689
6806,1.3356,103.7574
3883,1.4133,103.8346
3619,1.3659,103.8377
4088,1.3634,103.9068
4824,1.3159,103.9191
3968,1.3491,103.8734
2741,1.3498,103.7413
1317,1.2893,103.8139
4531,1.3518,103.9401
3456,1.3666,103.8284
6867,1.4008,103.9035
4079,1.376,103.8801
135,1.401733,103.9138
2230,1.3239,103.6492
3085,1.4446,103.7893
1441,1.3198,103.7736
2399,1.3451,103.724
4592,1.3739,103.9426
6154,1.4457,103.8199
2217,1.3442,103.6408
4550,1.3568,103.9509
3282,1.4384,103.7358
2392,1.3425,103.7327
3483,1.3562,103.8499
1872,1.3185,103.7101
6155,1.4443,103.8071
1768,1.3074,103.7821
6589,1.3118,103.723
4165,1.3781,103.8847
3049,1.4422,103.7788
4295,1.3895,103.9049
3658,1.3796,103.8425
4410,1.339,103.8951
3316,1.323,103.8525
1623,1.301,103.7727
1219,1.3024,103.8369
6611,1.3263,103.8934
1985,1.2863,103.7836
3497,1.3614,103.8403
4543,1.3521,103.9505
2475,1.3744,103.7238
2769,1.364,103.7471
1807,1.3196,103.7446
4790,1.3143,103.9059
2933,1.3977,103.755
6234,1.387,103.7606
5773,1.352,103.7083
3475,1.3613,103.8385
3917,1.3172,103.862
3093,1.4319,103.7721
6805,1.3372,103.7549
3088,1.4467,103.7949
2028,1.3391,103.6955
38,1.324207,103.93
3632,1.389,103.8437
1349,1.3085,103.8026
2682,1.3499,103.751
3225,1.411,103.7794
2349,1.3396,103.7366
2985,1.393,103.742
5138,1.381,103.9977
3014,1.4389,103.7665
1304,1.2804,103.8236
1750,1.2901,103.7894
6287,1.444,103.8225
4874,1.3207,103.9402
4625,1.3768,103.9384
2068,1.3184,103.6885
2994,1.3953,103.7519
2001,1.3401,103.6987
4198,1.3509,103.8619
4666,1.3749,103.962
5183,1.3282,103.9666
2822,1.386,103.7435
4154,1.3741,103.8788
4425,1.3281,103.8946
6638,1.3922,103.8802
3325,1.3159,103.8518
4298,1.386,103.9036
4618,1.3766,103.946
5307,1.4309,103.7875
6985,1.2978,103.8498
1149,1.2755,103.8411
2034,1.323,103.6927
3100,1.4324,103.7745
5145,1.3359,103.9584
4445,1.3322,103.9118
4188,1.4134,103.9093
2431,1.3522,103.7256
1150,1.2768,103.8406
1138,1.2822,103.8452
4126,1.3729,103.8864
3000,1.4031,103.7509
2964,1.4104,103.7658
3372,1.327,103.8582
4108,1.3644,103.8968
4189,1.414,103.9093
3035,1.444,103.7779
4742,1.3144,103.8924
3827,1.4304,103.8377
3751,1.453,103.8312
61,1.382899,103.7621
6632,1.3901,103.8845
